"AÑO","PROVINCIA","CANTON","ASESINATO","FEMICIDIO","HOMICIDIO","SICARIATO","TOTAL"
"2023","AZUAY","CAMILO PONCE ENRIQUEZ","44","1","10","0","55"
"2023","AZUAY","CHORDELEG","0","0","0","0","0"
"2023","AZUAY","CUENCA","63","13","34","0","110"
"2023","AZUAY","EL PAN","0","0","1","0","1"
"2023","AZUAY","GIRON","0","0","1","0","1"
"2023","AZUAY","GUACHAPALA","0","0","0","0","0"
"2023","AZUAY","GUALACEO","2","1","1","0","4"
"2023","AZUAY","NABON","0","1","2","0","3"
"2023","AZUAY","OÑA","0","0","0","0","0"
"2023","AZUAY","PAUTE","2","0","0","0","2"
"2023","AZUAY","PUCARA","1","0","1","0","2"
"2023","AZUAY","SAN FERNANDO","1","0","0","0","1"
"2023","AZUAY","SANTA ISABEL","4","1","1","0","6"
"2023","AZUAY","SEVILLA DE ORO","0","0","1","0","1"
"2023","AZUAY","SIGSIG","1","0","0","0","1"
"2023","BOLÍVAR","CALUMA","2","2","0","1","5"
"2023","BOLÍVAR","CHILLANES","5","1","0","0","6"
"2023","BOLÍVAR","CHIMBO","2","0","0","0","2"
"2023","BOLÍVAR","ECHEANDIA","0","0","0","2","2"
"2023","BOLÍVAR","GUARANDA","17","0","0","0","17"
"2023","BOLÍVAR","LAS NAVES","2","0","0","0","2"
"2023","BOLÍVAR","SAN MIGUEL DE BOLIVAR","3","0","1","0","4"
"2023","CAÑAR","AZOGUES","21","1","0","0","22"
"2023","CAÑAR","BIBLIAN","2","1","1","0","4"
"2023","CAÑAR","CANAR","5","1","2","0","8"
"2023","CAÑAR","DELEG","1","0","0","0","1"
"2023","CAÑAR","EL TAMBO","3","0","1","0","4"
"2023","CAÑAR","LA TRONCAL","123","2","8","1","134"
"2023","CAÑAR","SUSCAL","0","0","0","0","0"
"2023","CARCHI","BOLIVAR","1","0","0","0","1"
"2023","CARCHI","ESPEJO","1","1","1","0","3"
"2023","CARCHI","MIRA","2","0","1","0","3"
"2023","CARCHI","MONTUFAR","2","3","1","0","6"
"2023","CARCHI","SAN PEDRO DE HUACA","1","0","0","0","1"
"2023","CARCHI","TULCAN","12","4","6","0","22"
"2023","CHIMBORAZO","ALAUSI","4","0","0","0","4"
"2023","CHIMBORAZO","CHAMBO","0","0","1","0","1"
"2023","CHIMBORAZO","CHUNCHI","0","0","1","0","1"
"2023","CHIMBORAZO","COLTA","1","0","2","0","3"
"2023","CHIMBORAZO","CUMANDA","13","0","1","0","14"
"2023","CHIMBORAZO","GUAMOTE","0","0","1","0","1"
