"AÑO","PROVINCIA","ASESINATO","FEMICIDIO","HOMICIDIO","SICARIATO","TOTAL"
"2023","AZUAY","44","1","10","0","55"
"2023","AZUAY","0","0","0","0","0"
"2023","AZUAY","63","13","34","0","110"
"2023","AZUAY","0","0","1","0","1"
"2023","AZUAY","0","0","1","0","1"
"2023","AZUAY","0","0","0","0","0"
"2023","AZUAY","2","1","1","0","4"
"2023","AZUAY","0","1","2","0","3"
"2023","AZUAY","0","0","0","0","0"
"2023","AZUAY","2","0","0","0","2"
"2023","AZUAY","1","0","1","0","2"
"2023","AZUAY","1","0","0","0","1"
"2023","AZUAY","4","1","1","0","6"
"2023","AZUAY","0","0","1","0","1"
"2023","AZUAY","1","0","0","0","1"
"2023","BOLÍVAR","2","2","0","1","5"
"2023","BOLÍVAR","5","1","0","0","6"
"2023","BOLÍVAR","2","0","0","0","2"
"2023","BOLÍVAR","0","0","0","2","2"
"2023","BOLÍVAR","17","0","0","0","17"
"2023","BOLÍVAR","2","0","0","0","2"
"2023","BOLÍVAR","3","0","1","0","4"
"2023","CAÑAR","21","1","0","0","22"
"2023","CAÑAR","2","1","1","0","4"
"2023","CAÑAR","5","1","2","0","8"
"2023","CAÑAR","1","0","0","0","1"
"2023","CAÑAR","3","0","1","0","4"
"2023","CAÑAR","123","2","8","1","134"
"2023","CAÑAR","0","0","0","0","0"
"2023","CARCHI","1","0","0","0","1"
"2023","CARCHI","1","1","1","0","3"
"2023","CARCHI","2","0","1","0","3"
"2023","CARCHI","2","3","1","0","6"
"2023","CARCHI","1","0","0","0","1"
"2023","CARCHI","12","4","6","0","22"
"2023","CHIMBORAZO","4","0","0","0","4"
"2023","CHIMBORAZO","0","0","1","0","1"
"2023","CHIMBORAZO","0","0","1","0","1"
"2023","CHIMBORAZO","1","0","2","0","3"
"2023","CHIMBORAZO","13","0","1","0","14"
"2023","CHIMBORAZO","0","0","1","0","1"
"2023","CHIMBORAZO","3","0","4","0","7"
"2023","CHIMBORAZO","1","0","0","0","1"
"2023","CHIMBORAZO","0","0","0","0","0"
"2023","CHIMBORAZO","36","4","2","1","43"
"2023","COTOPAXI","17","2","2","0","21"
"2023","COTOPAXI","55","11","16","1","83"
"2023","COTOPAXI","4","0","1","0","5"
"2023","COTOPAXI","3","1","2","0","6"
"2023","COTOPAXI","10","5","2","0","17"
"2023","COTOPAXI","1","3","0","0","4"
"2023","COTOPAXI","2","0","0","0","2"
"2023","EL ORO","49","0","6","1","7"
"2023","EL ORO","1","0","0","0","0"
"2023","EL ORO","2","0","0","0","0"
"2023","EL ORO","1","0","0","0","0"
"2023","EL ORO","128","3","6","7","16"
"2023","EL ORO","52","4","6","1","11"
"2023","EL ORO","2","0","0","0","0"
"2023","EL ORO","257","6","27","4","37"
"2023","EL ORO","0","0","0","0","0"
"2023","EL ORO","107","4","6","2","12"
"2023","EL ORO","6","0","2","0","2"
"2023","EL ORO","10","1","2","0","3"
"2023","EL ORO","59","2","8","0","10"
"2023","EL ORO","5","0","0","0","0"
"2023","ESMERALDAS","61","2","3","0","66"
"2023","ESMERALDAS","32","1","2","0","35"
"2023","ESMERALDAS","334","6","24","5","369"
"2023","ESMERALDAS","15","0","3","0","18"
"2023","ESMERALDAS","97","2","11","0","110"
"2023","ESMERALDAS","28","0","5","0","33"
"2023","ESMERALDAS","107","1","8","0","116"
"2023","GALAPAGOS","0","0","0","0","0"
"2023","GALAPAGOS","0","0","0","0","0"
"2023","GALAPAGOS","0","1","0","0","1"
"2023","GUAYAS","31","3","0","0","34"
"2023","GUAYAS","50","0","4","0","54"
"2023","GUAYAS","91","2","0","2","95"
"2023","GUAYAS","19","2","0","0","21"
"2023","GUAYAS","10","1","1","0","12"
"2023","GUAYAS","131","4","2","10","147"
"2023","GUAYAS","279","6","5","2","292"
"2023","GUAYAS","90","2","2","1","95"
"2023","GUAYAS","81","5","3","2","91"
"2023","GUAYAS","5","0","0","0","5"
"2023","GUAYAS","886","29","97","4","1,016"
"2023","GUAYAS","22","0","1","0","23"
"2023","GUAYAS","11","0","0","1","12"
"2023","GUAYAS","197","7","8","3","215"
"2023","GUAYAS","153","1","9","0","163"
"2023","GUAYAS","22","1","0","0","23"
"2023","GUAYAS","22","2","0","2","26"
"2023","GUAYAS","73","1","0","2","76"
"2023","GUAYAS","38","2","1","0","41"
"2023","GUAYAS","51","0","0","0","51"
"2023","GUAYAS","22","2","0","2","26"
"2023","GUAYAS","56","3","0","0","59"
"2023","GUAYAS","100","3","2","0","105"
"2023","GUAYAS","21","0","0","0","21"
"2023","GUAYAS","18","1","1","0","20"
"2023","IMBABURA","5","0","3","0","8"
"2023","IMBABURA","6","3","4","0","13"
"2023","IMBABURA","10","7","16","1","34"
"2023","IMBABURA","10","3","7","0","20"
"2023","IMBABURA","2","0","1","0","3"
"2023","IMBABURA","6","0","0","0","6"
"2023","LOJA","2","0","0","0","2"
"2023","LOJA","7","0","2","1","10"
"2023","LOJA","0","0","1","0","1"
"2023","LOJA","1","0","1","0","2"
"2023","LOJA","0","0","0","0","0"
"2023","LOJA","1","1","0","0","2"
"2023","LOJA","22","5","19","0","46"
"2023","LOJA","5","1","0","0","6"
"2023","LOJA","2","0","1","0","3"
"2023","LOJA","0","0","1","0","1"
"2023","LOJA","1","0","0","0","1"
"2023","LOJA","1","0","0","0","1"
"2023","LOJA","0","0","0","0","0"
"2023","LOJA","0","2","1","0","3"
"2023","LOJA","0","0","0","0","0"
"2023","LOJA","3","0","0","0","3"
"2023","LOS RÍOS","36","1","6","0","43"
"2023","LOS RÍOS","160","4","25","0","189"
"2023","LOS RÍOS","82","1","14","0","97"
"2023","LOS RÍOS","34","1","3","0","38"
"2023","LOS RÍOS","6","0","2","0","8"
"2023","LOS RÍOS","20","0","1","0","21"
"2023","LOS RÍOS","262","0","1","1","264"
"2023","LOS RÍOS","77","6","26","4","113"
"2023","LOS RÍOS","24","2","6","1","33"
"2023","LOS RÍOS","34","1","5","3","43"
"2023","LOS RÍOS","38","0","4","4","46"
"2023","LOS RÍOS","106","0","10","0","116"
"2023","LOS RÍOS","61","5","5","5","76"
"2023","MANABÍ","11","2","1","0","14"
"2023","MANABÍ","114","2","1","0","117"
"2023","MANABÍ","20","4","2","2","28"
"2023","MANABÍ","80","1","6","0","87"
"2023","MANABÍ","17","1","2","1","21"
"2023","MANABÍ","8","0","2","0","10"
"2023","MANABÍ","25","1","0","1","27"
"2023","MANABÍ","22","3","0","0","25"
"2023","MANABÍ","12","0","0","0","12"
"2023","MANABÍ","194","3","8","6","211"
"2023","MANABÍ","66","3","3","1","73"
"2023","MANABÍ","0","","0","0","0"
"2023","MANABÍ","20","1","2","0","23"
"2023","MANABÍ","29","2","8","0","39"
"2023","MANABÍ","9","2","0","0","11"
"2023","MANABÍ","190","1","8","5","204"
"2023","MANABÍ","17","0","2","0","19"
"2023","MANABÍ","9","1","1","0","11"
"2023","MANABÍ","32","0","1","0","33"
"2023","MANABÍ","28","0","1","0","29"
